starttime,endtime,lecture
2022-04-11 08:40:00,2022-04-11 10:10:00,1
2022-04-18 08:40:00,2022-04-18 10:10:00,2
2022-04-25 08:40:00,2022-04-25 10:10:00,3
2022-05-02 08:40:00,2022-05-02 10:10:00,4
2022-05-09 08:40:00,2022-05-09 10:10:00,5
2022-05-16 08:40:00,2022-05-16 10:10:00,6
2022-05-23 08:40:00,2022-05-23 10:10:00,7
2022-05-30 08:40:00,2022-05-30 10:10:00,8
2022-06-13 08:40:00,2022-06-13 10:10:00,9
2022-06-20 08:40:00,2022-06-20 10:10:00,10
2022-06-27 08:40:00,2022-06-27 10:10:00,11
2022-07-04 08:40:00,2022-07-04 10:10:00,12
2022-07-11 08:40:00,2022-07-11 10:10:00,13
2022-07-25 08:40:00,2022-07-25 10:10:00,14
2022-08-01 08:40:00,2022-08-01 10:10:00,15
