userid,grade
C-2021-2_U1,F
C-2021-2_U2,F
C-2021-2_U3,B
C-2021-2_U4,F
C-2021-2_U5,C
C-2021-2_U6,B
C-2021-2_U7,F
C-2021-2_U8,A
C-2021-2_U9,A
C-2021-2_U10,B
C-2021-2_U11,B
C-2021-2_U12,F
C-2021-2_U13,B
C-2021-2_U14,A
C-2021-2_U15,C
C-2021-2_U16,A
C-2021-2_U17,B
C-2021-2_U18,B
C-2021-2_U19,B
C-2021-2_U20,C
C-2021-2_U21,C
C-2021-2_U22,F
C-2021-2_U23,C
C-2021-2_U24,C
C-2021-2_U25,B
C-2021-2_U26,B
C-2021-2_U27,B
C-2021-2_U28,C
C-2021-2_U29,B
C-2021-2_U30,C
C-2021-2_U31,A
C-2021-2_U32,B
C-2021-2_U33,B
C-2021-2_U34,B
C-2021-2_U35,B
C-2021-2_U36,B
C-2021-2_U37,B
C-2021-2_U38,B
C-2021-2_U39,B
C-2021-2_U40,A
C-2021-2_U41,A
C-2021-2_U42,B
C-2021-2_U43,B
C-2021-2_U44,B
C-2021-2_U45,F
C-2021-2_U46,D
C-2021-2_U47,F
C-2021-2_U48,A
C-2021-2_U49,F
C-2021-2_U50,C
C-2021-2_U51,C
C-2021-2_U52,D
C-2021-2_U53,B
C-2021-2_U54,B
C-2021-2_U55,B
C-2021-2_U56,B
C-2021-2_U57,B
C-2021-2_U58,C
C-2021-2_U59,B
C-2021-2_U60,C
C-2021-2_U61,D
C-2021-2_U62,F
C-2021-2_U63,D
C-2021-2_U64,B
C-2021-2_U65,C
C-2021-2_U66,B
C-2021-2_U67,C
C-2021-2_U68,B
C-2021-2_U69,B
C-2021-2_U70,B
C-2021-2_U71,C
C-2021-2_U72,F
C-2021-2_U73,C
C-2021-2_U74,B
C-2021-2_U75,B
C-2021-2_U76,B
C-2021-2_U77,F
C-2021-2_U78,C
C-2021-2_U79,B
C-2021-2_U80,B
C-2021-2_U81,C
C-2021-2_U82,F
C-2021-2_U83,B
C-2021-2_U84,F
C-2021-2_U85,C
C-2021-2_U86,C
C-2021-2_U87,F
C-2021-2_U88,B
C-2021-2_U89,B
C-2021-2_U90,F
C-2021-2_U91,F
C-2021-2_U92,C
C-2021-2_U93,B
C-2021-2_U94,C
C-2021-2_U95,D
C-2021-2_U96,B
C-2021-2_U97,B
C-2021-2_U98,C
C-2021-2_U99,B
C-2021-2_U100,B
C-2021-2_U101,A
C-2021-2_U102,B
C-2021-2_U103,B
C-2021-2_U104,B
C-2021-2_U105,B
C-2021-2_U106,B
C-2021-2_U107,B
C-2021-2_U108,B
C-2021-2_U109,B
C-2021-2_U110,A
C-2021-2_U111,B
C-2021-2_U112,B
C-2021-2_U113,C
C-2021-2_U114,B
C-2021-2_U115,A
C-2021-2_U116,C
C-2021-2_U117,B
C-2021-2_U118,B
C-2021-2_U119,A
C-2021-2_U120,A
C-2021-2_U121,C
C-2021-2_U122,C
C-2021-2_U123,F
C-2021-2_U124,B
C-2021-2_U125,B
C-2021-2_U126,C
C-2021-2_U127,B
C-2021-2_U128,B
C-2021-2_U129,B
C-2021-2_U130,B
C-2021-2_U131,B
C-2021-2_U132,B
C-2021-2_U133,B
C-2021-2_U134,F
C-2021-2_U135,B
C-2021-2_U136,C
C-2021-2_U137,B
C-2021-2_U138,B
C-2021-2_U139,B
C-2021-2_U140,C
C-2021-2_U141,B
C-2021-2_U142,B
C-2021-2_U143,B
C-2021-2_U144,B
C-2021-2_U145,A
C-2021-2_U146,B
C-2021-2_U147,B
C-2021-2_U148,B
C-2021-2_U149,F
C-2021-2_U150,F
C-2021-2_U151,B
C-2021-2_U152,B
C-2021-2_U153,B
C-2021-2_U154,A
C-2021-2_U155,C
C-2021-2_U156,C
C-2021-2_U157,B
C-2021-2_U158,B
C-2021-2_U159,D
C-2021-2_U160,B
C-2021-2_U161,C
C-2021-2_U162,B
C-2021-2_U163,D
C-2021-2_U164,C
C-2021-2_U165,D
C-2021-2_U166,F
C-2021-2_U167,B
C-2021-2_U168,C
C-2021-2_U169,C
C-2021-2_U170,F
C-2021-2_U171,C
C-2021-2_U172,F
C-2021-2_U173,F
C-2021-2_U174,D
C-2021-2_U175,F
