userid,grade
D-2020_U1,F
D-2020_U2,F
D-2020_U3,A
D-2020_U4,F
D-2020_U5,F
D-2020_U6,F
D-2020_U7,A
D-2020_U8,A
D-2020_U9,B
D-2020_U10,A
D-2020_U11,A
D-2020_U12,A
D-2020_U13,A
D-2020_U14,A
D-2020_U15,A
D-2020_U16,A
D-2020_U17,F
D-2020_U18,F
D-2020_U19,B
D-2020_U20,C
D-2020_U21,A
D-2020_U22,A
D-2020_U23,A
D-2020_U24,A
D-2020_U25,F
D-2020_U26,B
D-2020_U27,A
D-2020_U28,A
D-2020_U29,A
D-2020_U30,F
D-2020_U31,F
D-2020_U32,A
D-2020_U33,F
D-2020_U34,A
D-2020_U35,A
D-2020_U36,F
D-2020_U37,A
D-2020_U38,A
D-2020_U39,A
D-2020_U40,A
D-2020_U41,F
D-2020_U42,F
D-2020_U43,F
D-2020_U44,F
D-2020_U45,A
D-2020_U46,A
D-2020_U47,A
D-2020_U48,A
D-2020_U49,F
D-2020_U50,F
D-2020_U51,A
D-2020_U52,A
D-2020_U53,B
D-2020_U54,A
D-2020_U55,A
D-2020_U56,A
D-2020_U57,F
D-2020_U58,A
D-2020_U59,A
D-2020_U60,F
D-2020_U61,A
D-2020_U62,A
D-2020_U63,A
D-2020_U64,F
D-2020_U65,A
D-2020_U66,F
D-2020_U67,A
D-2020_U68,A
D-2020_U69,A
D-2020_U70,A
D-2020_U71,A
D-2020_U72,A
D-2020_U73,A
D-2020_U74,F
D-2020_U75,A
D-2020_U76,A
D-2020_U77,F
D-2020_U78,A
D-2020_U79,A
D-2020_U80,A
D-2020_U81,A
D-2020_U82,F
D-2020_U83,A
D-2020_U84,A
D-2020_U85,A
D-2020_U86,A
D-2020_U87,F
D-2020_U88,B
D-2020_U89,F
D-2020_U90,A
D-2020_U91,F
D-2020_U92,A
D-2020_U93,A
D-2020_U94,A
D-2020_U95,D
D-2020_U96,A
D-2020_U97,F
D-2020_U98,B
D-2020_U99,D
D-2020_U100,B
D-2020_U101,F
D-2020_U102,F
D-2020_U103,F
D-2020_U104,F
D-2020_U105,F
