lecture,contentsid,pages
,C-2021-2_C1,11
,C-2021-2_C2,37
,C-2021-2_C3,46
,C-2021-2_C4,31
,C-2021-2_C5,19
,C-2021-2_C6,25
,C-2021-2_C7,33
,C-2021-2_C8,50
,C-2021-2_C9,5
,C-2021-2_C10,37
,C-2021-2_C11,37
,C-2021-2_C12,31
,C-2021-2_C13,33
,C-2021-2_C14,61
,C-2021-2_C15,32
,C-2021-2_C16,31
,C-2021-2_C17,35
,C-2021-2_C18,5
,C-2021-2_C19,4
,C-2021-2_C20,4
,C-2021-2_C21,6
,C-2021-2_C22,10
,C-2021-2_C23,62
,C-2021-2_C24,71
,C-2021-2_C25,58
,C-2021-2_C26,77
,C-2021-2_C27,58
,C-2021-2_C28,55
,C-2021-2_C29,35
,C-2021-2_C30,27
,C-2021-2_C31,3
