userid,grade
D-2022_U1,B
D-2022_U2,C
D-2022_U3,F
D-2022_U4,D
D-2022_U5,D
D-2022_U6,F
D-2022_U7,A
D-2022_U8,A
D-2022_U9,A
D-2022_U10,B
D-2022_U11,F
D-2022_U12,D
D-2022_U13,C
D-2022_U14,A
D-2022_U15,D
D-2022_U16,C
D-2022_U17,F
D-2022_U18,F
D-2022_U19,F
D-2022_U20,D
D-2022_U21,A
D-2022_U22,F
D-2022_U23,B
D-2022_U24,A
D-2022_U25,A
D-2022_U26,A
D-2022_U27,A
D-2022_U28,A
D-2022_U29,A
D-2022_U30,A
D-2022_U31,B
D-2022_U32,A
D-2022_U33,B
D-2022_U34,A
D-2022_U35,A
D-2022_U36,A
D-2022_U37,C
D-2022_U38,A
D-2022_U39,A
D-2022_U40,A
D-2022_U41,B
D-2022_U42,A
D-2022_U43,A
D-2022_U44,A
D-2022_U45,A
D-2022_U46,F
D-2022_U47,A
D-2022_U48,F
D-2022_U49,B
D-2022_U50,F
D-2022_U51,A
D-2022_U52,A
D-2022_U53,D
D-2022_U54,A
D-2022_U55,A
D-2022_U56,A
D-2022_U57,A
D-2022_U58,A
D-2022_U59,A
D-2022_U60,A
D-2022_U61,A
D-2022_U62,A
D-2022_U63,F
D-2022_U64,F
D-2022_U65,B
D-2022_U66,C
D-2022_U67,B
D-2022_U68,A
D-2022_U69,A
D-2022_U70,F
D-2022_U71,F
D-2022_U72,A
D-2022_U73,D
D-2022_U74,A
D-2022_U75,C
D-2022_U76,A
D-2022_U77,A
D-2022_U78,F
D-2022_U79,F
D-2022_U80,B
D-2022_U81,D
D-2022_U82,C
D-2022_U83,A
D-2022_U84,A
D-2022_U85,A
D-2022_U86,F
D-2022_U87,A
D-2022_U88,C
D-2022_U89,A
D-2022_U90,A
D-2022_U91,A
D-2022_U92,A
D-2022_U93,A
