starttime,endtime,lecture
2021-04-09 10:30:00,2021-04-09 12:00:00,1
2021-04-16 10:30:00,2021-04-16 12:00:00,2
2021-04-23 10:30:00,2021-04-23 12:00:00,3
2021-04-30 10:30:00,2021-04-30 12:00:00,4
2021-05-07 10:30:00,2021-05-07 12:00:00,5
2021-05-14 10:30:00,2021-05-14 12:00:00,6
2021-05-21 10:30:00,2021-05-21 12:00:00,7
2021-05-28 10:30:00,2021-05-28 12:00:00,8
2021-06-11 10:30:00,2021-06-11 12:00:00,9
2021-06-18 10:30:00,2021-06-18 12:00:00,10
2021-06-25 10:30:00,2021-06-25 12:00:00,11
2021-07-02 10:30:00,2021-07-02 12:00:00,12
2021-07-09 10:30:00,2021-07-09 12:00:00,13
2021-07-16 10:30:00,2021-07-16 12:00:00,14
2021-07-23 10:30:00,2021-07-23 12:00:00,15
