userid,grade
B-2019_U2,B
B-2019_U3,C
B-2019_U4,B
B-2019_U5,C
B-2019_U6,B
B-2019_U7,B
B-2019_U8,B
B-2019_U9,B
B-2019_U10,B
B-2019_U11,B
B-2019_U12,A
B-2019_U13,B
B-2019_U14,B
B-2019_U15,B
B-2019_U16,C
B-2019_U17,A
B-2019_U18,B
B-2019_U19,B
B-2019_U20,B
B-2019_U21,B
B-2019_U22,B
B-2019_U23,A
B-2019_U24,B
B-2019_U25,B
B-2019_U26,A
B-2019_U27,B
B-2019_U28,B
B-2019_U29,B
B-2019_U30,C
B-2019_U31,B
B-2019_U32,B
B-2019_U33,B
B-2019_U34,B
B-2019_U35,C
B-2019_U36,B
B-2019_U37,B
B-2019_U38,B
B-2019_U39,A
B-2019_U40,B
B-2019_U41,B
B-2019_U42,B
B-2019_U43,B
B-2019_U44,B
B-2019_U45,A
B-2019_U46,A
B-2019_U48,B
B-2019_U49,B
B-2019_U50,C
B-2019_U51,B
B-2019_U52,B
B-2019_U53,B
B-2019_U54,A
B-2019_U55,A
B-2019_U56,B
B-2019_U57,B
B-2019_U58,C
B-2019_U59,B
B-2019_U60,B
B-2019_U61,B
B-2019_U62,B
B-2019_U63,B
B-2019_U64,C
B-2019_U65,B
B-2019_U66,B
B-2019_U67,A
B-2019_U68,B
B-2019_U69,B
B-2019_U70,B
B-2019_U71,A
B-2019_U72,C
B-2019_U73,B
B-2019_U74,A
B-2019_U75,B
B-2019_U76,C
B-2019_U77,C
B-2019_U78,B
B-2019_U79,B
B-2019_U80,B
B-2019_U81,B
B-2019_U82,B
B-2019_U83,B
B-2019_U84,B
B-2019_U85,A
B-2019_U86,B
B-2019_U87,B
B-2019_U88,B
B-2019_U89,B
B-2019_U90,B
B-2019_U91,A
B-2019_U92,B
B-2019_U93,A
B-2019_U94,B
B-2019_U95,B
B-2019_U96,B
B-2019_U97,B
B-2019_U98,A
B-2019_U99,C
B-2019_U100,B
B-2019_U101,B
B-2019_U102,A
B-2019_U103,C
B-2019_U104,B
B-2019_U105,A
B-2019_U106,B
B-2019_U107,A
B-2019_U108,B
B-2019_U109,B
B-2019_U110,C
B-2019_U111,B
B-2019_U112,C
B-2019_U113,A
B-2019_U114,A
B-2019_U115,B
B-2019_U116,C
B-2019_U117,B
B-2019_U118,B
B-2019_U119,B
B-2019_U120,B
B-2019_U121,A
B-2019_U122,C
B-2019_U123,C
B-2019_U124,B
B-2019_U125,B
B-2019_U126,C
B-2019_U127,B
B-2019_U128,C
B-2019_U129,B
B-2019_U130,A
B-2019_U131,B
B-2019_U132,A
B-2019_U133,B
B-2019_U134,B
B-2019_U135,B
B-2019_U136,B
B-2019_U137,B
B-2019_U138,C
B-2019_U139,A
B-2019_U140,B
B-2019_U141,B
B-2019_U142,F
B-2019_U143,C
B-2019_U144,B
B-2019_U145,B
B-2019_U146,B
B-2019_U147,C
B-2019_U148,B
B-2019_U149,B
B-2019_U150,C
B-2019_U151,C
B-2019_U152,A
B-2019_U153,B
B-2019_U154,B
B-2019_U155,B
B-2019_U156,A
B-2019_U157,C
B-2019_U158,C
B-2019_U159,A
B-2019_U160,B
B-2019_U161,A
B-2019_U162,B
B-2019_U163,C
B-2019_U164,A
B-2019_U165,D
