userid,grade
A-2019_U1,D
A-2019_U2,B
A-2019_U3,F
A-2019_U4,D
A-2019_U5,B
A-2019_U6,A
A-2019_U7,A
A-2019_U8,B
A-2019_U9,B
A-2019_U10,C
A-2019_U11,A
A-2019_U12,A
A-2019_U13,A
A-2019_U14,B
A-2019_U15,A
A-2019_U16,D
A-2019_U17,D
A-2019_U18,F
A-2019_U19,C
A-2019_U20,D
A-2019_U21,A
A-2019_U22,A
A-2019_U23,A
A-2019_U24,A
A-2019_U25,A
A-2019_U26,C
A-2019_U27,F
A-2019_U28,C
A-2019_U29,A
A-2019_U30,A
A-2019_U31,D
A-2019_U32,F
A-2019_U33,B
A-2019_U34,D
A-2019_U35,C
A-2019_U36,A
A-2019_U37,D
A-2019_U38,F
A-2019_U39,D
A-2019_U40,B
A-2019_U41,F
A-2019_U42,F
A-2019_U43,B
A-2019_U44,B
A-2019_U45,F
A-2019_U46,A
A-2019_U47,C
A-2019_U48,D
A-2019_U49,F
A-2019_U50,F
A-2019_U51,F
A-2019_U52,F
