userid,grade
A-2021_U1,C
A-2021_U2,F
A-2021_U3,D
A-2021_U4,F
A-2021_U5,C
A-2021_U6,D
A-2021_U7,F
A-2021_U8,C
A-2021_U9,B
A-2021_U10,A
A-2021_U11,B
A-2021_U12,A
A-2021_U13,D
A-2021_U14,A
A-2021_U15,A
A-2021_U16,B
A-2021_U17,D
A-2021_U18,A
A-2021_U19,D
A-2021_U20,A
A-2021_U21,B
A-2021_U22,D
A-2021_U23,D
A-2021_U24,B
A-2021_U25,C
A-2021_U26,C
A-2021_U27,A
A-2021_U28,A
A-2021_U29,C
A-2021_U30,C
A-2021_U31,B
A-2021_U32,D
A-2021_U33,D
A-2021_U34,B
A-2021_U35,C
A-2021_U36,B
A-2021_U37,D
A-2021_U38,D
A-2021_U39,D
A-2021_U40,B
A-2021_U41,D
A-2021_U42,D
A-2021_U43,A
A-2021_U44,B
A-2021_U45,D
A-2021_U46,F
A-2021_U47,C
A-2021_U48,C
A-2021_U49,D
A-2021_U50,D
A-2021_U51,D
A-2021_U52,F
A-2021_U53,B
A-2021_U54,F
