starttime,endtime,lecture
2022-04-15 10:30:00,2022-04-15 12:00:00,1
2022-04-22 10:30:00,2022-04-22 12:00:00,2
2022-05-06 10:30:00,2022-05-06 12:00:00,3
2022-05-13 10:30:00,2022-05-13 12:00:00,4
2022-05-20 10:30:00,2022-05-20 12:00:00,5
2022-05-27 10:30:00,2022-05-27 12:00:00,6
2022-06-03 10:30:00,2022-06-03 12:00:00,7
2022-06-10 10:30:00,2022-06-10 12:00:00,8
2022-06-17 10:30:00,2022-06-17 12:00:00,9
2022-06-24 10:30:00,2022-06-24 12:00:00,10
2022-07-01 10:30:00,2022-07-01 12:00:00,11
2022-07-08 10:30:00,2022-07-08 12:00:00,12
2022-07-15 10:30:00,2022-07-15 12:00:00,13
2022-07-22 10:30:00,2022-07-22 12:00:00,14
2022-07-29 10:30:00,2022-07-29 12:00:00,15
2022-08-05 10:30:00,2022-08-05 12:00:00,16
