userid,grade
E-2020-2_U3,D
E-2020-2_U4,D
E-2020-2_U5,D
E-2020-2_U6,D
E-2020-2_U7,D
E-2020-2_U8,F
E-2020-2_U9,F
E-2020-2_U10,F
E-2020-2_U11,D
E-2020-2_U12,D
E-2020-2_U13,C
E-2020-2_U14,C
E-2020-2_U15,D
E-2020-2_U16,C
E-2020-2_U17,F
E-2020-2_U18,F
E-2020-2_U19,D
E-2020-2_U20,D
E-2020-2_U21,F
E-2020-2_U22,F
E-2020-2_U23,F
E-2020-2_U24,F
E-2020-2_U25,F
E-2020-2_U26,D
E-2020-2_U27,C
E-2020-2_U28,C
E-2020-2_U29,F
E-2020-2_U30,D
E-2020-2_U31,F
E-2020-2_U32,D
E-2020-2_U33,F
E-2020-2_U34,D
E-2020-2_U35,F
E-2020-2_U36,D
E-2020-2_U37,D
E-2020-2_U38,B
E-2020-2_U39,F
E-2020-2_U40,B
E-2020-2_U41,C
E-2020-2_U42,F
E-2020-2_U43,F
E-2020-2_U44,D
E-2020-2_U45,D
E-2020-2_U46,F
E-2020-2_U47,F
E-2020-2_U48,F
E-2020-2_U49,D
E-2020-2_U50,D
E-2020-2_U51,F
E-2020-2_U52,C
E-2020-2_U53,D
E-2020-2_U54,F
E-2020-2_U55,F
E-2020-2_U56,C
E-2020-2_U57,F
E-2020-2_U58,F
