userid,grade
A-2020_U1,B
A-2020_U2,F
A-2020_U3,F
A-2020_U4,D
A-2020_U5,D
A-2020_U6,A
A-2020_U7,C
A-2020_U8,C
A-2020_U9,A
A-2020_U10,A
A-2020_U11,F
A-2020_U12,B
A-2020_U13,B
A-2020_U14,A
A-2020_U15,B
A-2020_U16,B
A-2020_U17,A
A-2020_U18,A
A-2020_U19,A
A-2020_U20,A
A-2020_U21,A
A-2020_U22,A
A-2020_U23,F
A-2020_U24,A
A-2020_U25,C
A-2020_U26,B
A-2020_U27,B
A-2020_U28,A
A-2020_U29,B
A-2020_U30,A
A-2020_U31,A
A-2020_U32,B
A-2020_U33,F
A-2020_U34,B
A-2020_U35,A
A-2020_U36,B
A-2020_U37,B
A-2020_U38,B
A-2020_U39,A
A-2020_U40,B
A-2020_U41,A
A-2020_U42,B
A-2020_U43,A
A-2020_U44,B
A-2020_U45,A
A-2020_U46,B
A-2020_U47,F
A-2020_U48,A
A-2020_U49,F
A-2020_U50,A
A-2020_U51,A
A-2020_U52,C
A-2020_U53,B
A-2020_U54,B
A-2020_U55,B
A-2020_U56,B
A-2020_U57,B
A-2020_U58,C
A-2020_U59,B
A-2020_U60,D
