starttime,endtime,lecture
2020-10-07 08:40:00,2020-10-07 10:10:00,1
2020-10-14 08:40:00,2020-10-14 10:10:00,2
2020-10-21 08:40:00,2020-10-21 10:10:00,3
2020-10-28 08:40:00,2020-10-28 10:10:00,4
2020-11-04 08:40:00,2020-11-04 10:10:00,5
2020-11-11 08:40:00,2020-11-11 10:10:00,6
2020-11-25 08:40:00,2020-11-25 10:10:00,7
2020-12-02 08:40:00,2020-12-02 10:10:00,8
2020-12-09 08:40:00,2020-12-09 10:10:00,9
2020-12-16 08:40:00,2020-12-16 10:10:00,10
2020-12-23 08:40:00,2020-12-23 10:10:00,11
2021-01-06 08:40:00,2021-01-06 10:10:00,12
2021-01-20 08:40:00,2021-01-20 10:10:00,13
2021-01-27 08:40:00,2021-01-27 10:10:00,14
2021-02-03 08:40:00,2021-02-03 10:10:00,15
